"","X_UWI_DISPLAY","UWI","SURFACE_LATITUDE","SURFACE_LONGITUDE","X_TD_TVD","DRILL_TD","X_ONPROD_DATE","RIG_RELEASE_DATE","PROFILE_TYPE","PSUM_POOL_NAME","PSUM_OPERATOR_NAME"
"5477","91/13-12-031-20W3/0","191131203120W300",51.6456846,-108.7063116,692.48,1508,2013-10-01,2013-08-11,"Horizontal","DODSLAND VIKING","TEINE ENERGY LTD."
"5478","91/13-14-030-26W3/0","191131403026W300",51.5676553,-109.5614854,746.9,1536,2011-07-01,2011-06-11,"Horizontal","WHITESIDE VIKING","NOVUS ENERGY LTD."
"5479","91/13-20-030-24W3/0","191132003024W300",51.5831095,-109.353369,698.27,1423,2011-11-23,2011-09-03,"Horizontal","WHITESIDE VIKING","SPARTAN ENERGY CORP."
"5480","91/10-16-030-19W3/0","191101603019W300",51.5778842,-108.6125557,736.3,1479,2015-10-18,2015-10-02,"Horizontal","DODSLAND VIKING","RAGING RIVER EXPLORATION INC."
"5481","91/10-17-025-14W3/0","191101702514W300",51.1343408,-107.9067592,671.45,1504,2015-01-23,2014-12-22,"Horizontal","VIKING SAND","RAGING RIVER EXPLORATION INC."
"5482","91/12-08-032-23W3/0","191120803223W300",51.73242,-109.2258142,742.36,1519,2015-12-09,2015-10-23,"Horizontal","KERROBERT VIKING","NAL RESOURCES LIMITED"
"5483","91/12-27-032-20W3/0","191122703220W300",51.77705,-108.7528655,646.6,1540,2015-06-26,2015-06-13,"Horizontal","DODSLAND NORTH VIKING","TEINE ENERGY LTD."
"5484","91/10-18-029-21W3/0","191101802921W300",51.4902967,-108.9418622,736.95,1441,2011-09-14,2011-08-08,"Horizontal","AVON HILL VIKING","RAGING RIVER EXPLORATION INC."
"5485","91/10-19-029-22W3/0","191101902922W300",51.5050281,-109.0824489,738.61,1475.5,2014-07-12,2014-06-11,"Horizontal","AVON HILL VIKING","RAGING RIVER EXPLORATION INC."
"5486","91/10-21-029-22W3/0","191102102922W300",51.5050072,-109.0358387,741.97,1485.3,2013-07-12,2013-07-06,"Horizontal","AVON HILL VIKING","RAGING RIVER EXPLORATION INC."
"5487","91/10-24-029-22W3/0","191102402922W300",51.5052485,-108.9652631,741.64,1510,2016-04-24,2015-12-20,"Horizontal","AVON HILL VIKING","RAGING RIVER EXPLORATION INC."
"5488","91/10-20-030-20W3/0","191102003020W300",51.5926258,-108.7775535,695.58,1463,2013-08-27,2013-08-17,"Horizontal","DODSLAND VIKING","RAGING RIVER EXPLORATION INC."
"5489","91/10-22-030-21W3/0","191102203021W300",51.5761635,-108.868652,688.26,1657.5,2010-03-13,2010-02-10,"Horizontal","DODSLAND VIKING","RAGING RIVER EXPLORATION INC."
"5490","91/10-22-032-27W3/0","191102203227W300",51.7587852,-109.7353011,763.72,1546,2014-02-22,2014-02-03,"Horizontal","VIKING SAND","TAMARACK ACQUISITION CORP."
"5491","91/13-13-031-20W3/0","191131303120W300",51.6596165,-108.7040967,696.09,1557,2015-11-07,2015-09-22,"Horizontal","DODSLAND VIKING","TEINE ENERGY LTD."
